key,en,zh-Hans,zh-Hant,ja-JP,ko-KR,ms-MY,th-TH,vi-VN,hi-IN,de-DE,fr-FR,pt-PT,es-ES,it-IT,nl-NL,no-NO,sv-SE,ro-RO,cs-CZ
节点等级,Node Level,节点等级,節點等級,ノード等級,노드 등급,Tahap Nod,ระดับโหนด,Cấp độ nút,नोड स्तर,Knotengrad,Niveau de nœud,Nível do nó,Nivel de nodo,Livello nodo,Knooppuntniveau,Nodenivå,Nodnivå,Nivel de nod,Úroveň uzlu
投资金额,Investment Amount,投资金额,投資金額,投資金額,투자 금액,Jumlah Pelaburan,ยอดลงทุน,Số tiền đầu tư,निवेश राशि,Investitionsbetrag,Montant de l’investissement,Valor do investimento,Monto de inversión,Importo investito,Investeringsbedrag,Investeringsbeløp,Investeringsbelopp,Suma investită,Investovaná částka
节点数量,Number of nodes,节点数量,節點數量,ノード数,노드 수량,Bilangan nod,จำนวนโหนด,Số lượng nút,नोड्स की संख्या,Knotenanzahl,Nombre de nœuds,Quantidade de nós,Número de nodos,Numero di nodi,Aantal knooppunten,Antall noder,Antal noder,Număr de noduri,Počet uzlů
专属权益,Exclusive Benefits,专属权益,專屬權益,専用特典,전용 혜택,Manfaat Eksklusif,สิทธิประโยชน์พิเศษ,Quyền lợi độc quyền,अनन्य लाभ,Exklusive Rechte,Droits exclusifs,Direitos exclusivos,Beneficios exclusivos,Diritti esclusivi,Exclusieve rechten,Eksklusive rettigheter,Exklusiva rättigheter,Drepturi exclusive,Exkluzivní práva
酒会支持,Cocktail Party Support,酒会支持,酒會支持,カクテルパーティーサポート,와인 파티 지원,Sokongan Parti Koktel,สนับสนุนงานค็อกเทล,Hỗ trợ Tiệc Cocktail,कॉकटेल पार्टी सहायता,Unterstützung bei Galas,Support pour les événements,Apoio para coquetéis,Soporte para eventos,Supporto per eventi,Ondersteuning voor borrel,Bryllupsstøtte,Stöd för drinktillställning,Suport pentru recepție,Podpora koktejlu
节点返还机制,Node Rebate Mechanism,节点返还机制,節點返還機制,ノード返還メカニズム,노드 환급 메커니즘,Mekanisme Rebate Nod,กลไกรายได้โหนด,Cơ chế hoàn tiền cho nút,नोड रिबेट तंत्र,Knoten-Rückzahlungsmechanismus,Mécanisme de remboursement de nœud,Mecanismo de reembolso de nó,Mecanismo de devolución de nodo,Meccanismo di rimborso del nodo,Knooppunt-terugbetalingsmechanisme,Nodens tilbakebetalingsmekanisme,Nodens återbetalningsmekanism,Mecanism de returnare a nodului,Mechanismus vrácení uzlu
收益结构,Revenue Structure,收益结构,收益結構,収益構造,수익 구조,Struktur Pendapatan,โครงสร้างรายได้,Cấu trúc doanh thu,राजस्व संरचना,Ertragsstruktur,Structure de revenus,Estrutura de lucros,Estructura de beneficios,Struttura dei rendimenti,Inkomstenstructuur,Inntektsstruktur,Inkomststruktur,Structură de câștig,Struktura výnosů
动态收益,Dynamic Rewards,动态收益,動態收益,動的収益,동적 수익,Ganjaran Dinamik,รางวัลแบบไดนามิก,Phần thưởng động,डायनामिक पुरस्कार,Dynamische Erträge,Revenus dynamiques,Ganhos dinâmicos,Ingresos dinámicos,Guadagni dinamici,Dynamisch inkomen,Dynamisk inntekt,Dynamisk inkomst,Venit dinamic,Dynamický výnos
推荐奖励,Referral Reward,推荐奖励,推薦獎勵,推薦報酬,추천 보상,Ganjaran Rujukan,รางวัลการแนะนำ,Phần thưởng giới thiệu,रेफरल पुरस्कार,Empfehlungsbonus,Récompense de parrainage,Bônus por indicação,Recompensa por recomendación,Bonus di raccomandazione,Aanbevelingsbeloning,Anbefalingsbelønning,Rekommendationsbonus,Recompensă pentru recomandare,Doporučovací odměna
立即抢购,Buy Now,立即抢购,立即搶購,今すぐ購入,지금 바로 구매,Beli Sekarang,ซื้อตอนนี้,Mua ngay,अभी खरीदें,Jetzt kaufen,Acheter maintenant,Compre agora,Comprar ahora,Acquista ora,Koop nu onmiddellijk,Kjøp umiddelbart,Köp omedelbart,Cumpără acum okamžitě,Kupte ihned
锁仓期,Lock up period,锁仓期,鎖倉期,ロックアップ期間,락업 기간,Tempoh Kunci,ระยะเวลาล็อค,Thời gian khóa,लॉकअप अवधि,Sperrfrist,Période de blocage,Período de bloqueio,Período de bloqueo,Periodo di blocco,Vergrendelingsperiode,Låseperiode,Låsningsperiod,Perioadă de blocare,Doba uzamčení
投资计入业绩,Investment included in performance,投资计入业绩,投資計入業績,投資実績に計上,투자 실적에 포함,Pelaburan dimasukkan dalam prestasi,การลงทุนนับรวมในผลงาน,Khoản đầu tư được tính vào hiệu suất,निवेश प्रदर्शन में शामिल,Investition wird in Leistung gezählt,Investissement comptabilisé dans la performance,Investimento contado nos resultados,Inversión contabilizada en los resultados,Investimento conteggiato nei risultati,Investeringen telt mee voor prestaties,Investeringen teller for ytelse,Investeringen räknas till resultatul,Investiția se contabilizează în performanță,Investice se počítá do výkonu
场,Field,场,場,場,장,Bidang,สาขา,Lĩnh vực,क्षेत्र,Feld,Champ,Campo,Campo,Campo,Locatie,Sted,Plats,Locul,Místo
当前直推节点人数,Current number of direct push V {n} nodes: {m} people,当前直推V{n}节点人数：{m}人,當前直推V{n}節點人數：{m}人,現在の直接推薦V{n}ノード人数：{m}人,현재 직접 추천한 V{n} 노드 수: {m}명,Jumlah semasa nod V{n} tolakan langsung: {m} orang,จำนวนโหนด V{n} โดยตรงปัจจุบัน: {m} คน,Số lượng nút V {n} được đẩy trực tiếp hiện tại: {m} người,प्रत्यक्ष पुश वी {n} नोड्स की वर्तमान संख्या: {m} लोग,Aktuelle direkte V{n}-Knotenanzahl: {m} Personen,Nombre actuel de nœuds V{n} directs : {m} personnes,Total de nós V{n} diretos atualmente: {m} pessoas,Número actual de nodos V{n} directos: {m} personas,Attualmente numero di nodi V{n} diretti: {m} persone,Huidig aantal directe V{n}-knooppunten: {m} personen,Nåværende antall direkte V{n}-noder: {m} personer,Nuvarande antal direkt V{n}-noder: {m} personer,Număr curent de noduri V{n} directe: {m} persoane,Aktuální počet přímých uzlů V{n}: {m} osob
购买中,Purchasing。。。,购买中。。。,購買中...,購入中...,구매 중...,Sedang membeli...,กำลังซื้อ...,Đang mua...,खरीदना…,Kauf läuft…,Achat en cours…,Comprando…,Comprando…,Acquisto in corso…,Aan het kopen...,Kjøper...,Köper...,Cumpăr...,Probíhá nákup...
购买成功,Purchase successful,购买成功,購買成功,購入成功,구매 성공,Pembelian berjaya,ซื้อสำเร็จ,Mua thành công,खरीद सफल,Kauf erfolgreich,Achat réussi,Compra realizada com sucesso,Compra exitosa,Acquisto riuscito,Gekocht met succes,Kjøp fullført,Köp slutförd,Cumpărare reușită,Úspěšný nákup
首页特殊字体文字,Fast profit + Promotion to earn money + Strong team advantage,快速收益 + 推广赚钱 + 团队强力优势,快速收益 + 推廣賺錢 + 團隊強力優勢,高速収益 + プロモーション収益 + 強力なチーム力,빠른 수익 + 홍보 수익 + 강력한 팀워크,Keuntungan pantas + Kenaikan pangkat untuk menjana wang + Kelebihan pasukan yang kuat,กำไรเร็ว + เลื่อนระดับสร้างรายได้ + ความได้เปรียบทีมแข็งแกร่ง,Lợi nhuận nhanh + Thăng cấp để kiếm tiền + Lợi thế đội nhóm mạnh,तेज लाभ + पैसे कमाने के लिए प्रचार + मजबूत टीम का लाभ,Schnelle Gewinne + Empfehlungsprämien + Starkes Team,Gains rapides + Parrainage + Force de l’équipe,Ganhos rápidos + Promoção lucrativa + Equipe forte,Beneficios rápidos + Referidos + Ventajas de equipo,Guadagni rapidi + Guadagni tramite referral + Forte supporto del team,Snelle winst + Promotie-inkomsten + Sterk teamvoordeel,Rask fortjeneste + Tjen på promotering + Sterk teamfordel,Snabb vinst + Tjäna på marknadsföring + Starkt teamförsprång,Câștig rapid + Venit din promovare + Avantajul unei echipe puternice,Rychlý zisk + Výdělek z propagace + Silná týmová výhoda
你的AI投资领航者,The AI That Knows How to Grow Your Money,会自己赚钱的AI,會自己賺錢的AI,お金を稼ぐAI,스스로 수익을 창출하는 AI,AI Yang Tahu Cara Mengembangkan Wang Anda,AI ที่รู้วิธีเพิ่มเงินให้คุณ,Trí tuệ nhân tạo biết cách làm tăng tiền của bạn,वह एआई जो आपके पैसे को बढ़ाना जानता है,"KI, die selbst Geld verdient",IA qui gagne de l’argent toute seule,IA que ganha dinheiro sozinha,IA que gana dinero por sí sola,Intelligenza Artificiale che guadagna da sola,AI die zelf geld verdient,AI som tjener penger selv,AI som tjänar pengar själv,AI care face bani de unul singur,"AI, který si sám vydělává"
您当前的节点等级,Your current node level,您当前的节点等级,您當前的節點等級,現在のノード等級,현재 노드 등급,Tahap nod semasa anda,ระดับโหนดปัจจุบันของคุณ,Cấp độ nút hiện tại của bạn,आपका वर्तमान नोड स्तर,Ihr aktueller Knotengrad,Votre niveau de nœud actuel,Seu nível de nó atual,Tu nivel de nodo actual,Il tuo livello nodo attuale,Uw huidige knooppuntniveau,Ditt nåværende nodenivå,Din nuvarande nodnivå,Nivelul actual al nodului dumneavoastră,Vaše aktuální úroveň uzlu
googleVerify.title,Security Verification,安全验证,安全驗證,セキュリティ認証,보안 인증,Pengesahan Keselamatan,การตรวจสอบความปลอดภัย,Xác minh bảo mật,सुरक्षा सत्यापन,Sicherheitsverifizierung,Vérification de sécurité,Verificação de segurança,Verificación de seguridad,Verifica di sicurezza,Beveiligingsverificatie,Sikkerhetsverifisering,Säkerhetsverifiering,Verificare de securitate,Bezpečnostní ověření
googleVerify.googleAuth,Google Authenticator,谷歌验证码,谷歌驗證碼,Google認証コード,Google 인증 코드,Google Authenticator,Google Authenticator,Google Authenticator,गूगल प्रमाणक,Google-Verifizierungscode,Code de vérification Google,Código de verificação do Google,Código de verificación de Google,Codice di verifica Google,Google verificatiecode,Google-verifiseringskode,Google-verifieringskod,Cod de verificare Google,Google ověřovací kód
googleVerify.authFromApp,Get verification code from Authenticator app,从 Authenticator 应用获取验证码,從 Authenticator 應用獲取驗證碼,Authenticatorアプリから認証コードを取得,Authenticator 앱에서 인증 코드를 가져오세요,Dapatkan kod pengesahan dari aplikasi Authenticator,รับรหัสยืนยันจากแอป Authenticator,Lấy mã xác minh từ ứng dụng Authenticator,प्रमाणक ऐप से सत्यापन कोड प्राप्त करें,Holen Sie den Code aus Authenticator,Obtenez le code depuis Authenticator,Obtenha o código do Authenticator,Obtén el código desde Authenticator,Ottieni il codice da Authenticator,Verificatiecode ophalen uit de Authenticator-app,Hent kode fra Authenticator-appen,Hämta kod från Authenticator-appen,Obțineți cod din aplicația Authenticator,Získejte kód z aplikace Authenticator
googleVerify.enterCode,Enter 6-digit Google verification code,输入6位谷歌验证码,輸入6位谷歌驗證碼,6桁のGoogle認証コードを入力してください,6자리 Google 인증 코드를 입력하세요,Masukkan kod pengesahan Google 6-digit,กรอกรหัสยืนยัน 6 หลักจาก Google,Nhập mã xác minh Google gồm 6 chữ số,6-अंकीय गूगल सत्यापन कोड दर्ज करें,6-stelligen Google-Code eingeben,Entrez le code Google à 6 chiffres,Insira o código de 6 dígitos do Google,Ingresa el código de 6 dígitos de Google,Inserisci il codice a 6 cifre di Google,Vul de 6-cijferige Google-code in,Skriv inn 6-sifret Google-kode,Ange 6-siffrig Google-kod,Introdus codul Google de 6 cifre,Zadejte 6místný Google ověřovací kód
